Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
Dragon Ball Z: Super Android 13!,1992,45 min.,Kazuhito Kikuchi,Masako Nozawa,Kazuyuki Sogabe,Action
Whirlpool,1949,98 min.,Otto Preminger,Gene Tierney,José Ferrer,Crime Drama
"Django, Prepare a Coffin",1968,88 min.,Ferdinando Baldi,Terence Hill,Horst Frank,Action
Bugs Bunny Gets the Boid,1942,7 min.,Robert Clampett,,,Animation
Seminary Girls,1897,1 min.,James H. White,,,Comedy
Demetrius and the Gladiators,1954,101 min.,Delmer Daves,Victor Mature,Susan Hayward,Adventure
Apostle,2018,129 min.,Gareth Evans,Dan Stevens,Lucy Boynton,Folk Horror
Den of Thieves,2018,140 min.,Christian Gudegast,Gerard Butler,Pablo Schreiber,Action Thriller
The Tender Trap,1955,111 min.,Charles Walters,Frank Sinatra,Debbie Reynolds,Comedy
Beowulf,2007,113 min.,Robert Zemeckis,Ray Winstone,Angelina Jolie,Adventure
Maniac Cop 2,1990,90 min.,William Lustig,Robert Davi,Claudia Christian,Action
Supervixens,1975,106 min.,Russ Meyer,Shari Eubank,Charles Napier,Action
Boss Nigger,1975,87 min.,Jack Arnold,R.G. Armstrong,Jerry Butler,Action Thriller
Traffic in Souls,1913,88 min.,George Loane Tucker,Jane Gail,Ethel Grandin,Drama
Day of the Fight,1951,16 min.,Stanley Kubrick,Douglas Edwards,Walter Cartier,Biography
Deadline - U.S.A.,1952,87 min.,Richard Brooks,Humphrey Bogart,Ethel Barrymore,Crime Drama
Night Creatures,1962,80 min.,Peter Graham Scott,Peter Cushing,Yvonne Romain,Adventure
Runaway Bride,1999,116 min.,Garry Marshall,Joan Cusack,Julia Roberts,Comedy
The Great Raid,2005,132 min.,John Dahl,Benjamin Bratt,James Franco,Drama
The Last Station,2009,112 min.,Michael Hoffman,James McAvoy,Christopher Plummer,Based-on-20th-Century-Literature
Timeline,2003,116 min.,Richard Donner,Paul Walker,Gerard Butler,Action
Hallelujah!,1929,109 min.,King Vidor,Daniel L. Haynes,Nina Mae McKinney,Drama
Abbott and Costello in the Foreign Legion,1950,80 min.,Charles Lamont,Bud Abbott,Lou Costello,Comedy
The Genii of Fire,1908,4 min.,Georges Méliès,,,Short Film
Hearts and Planets,1915,5 min.,Mack Sennett,,,Comedy
Billy's Balloon,1998,6 min.,Don Hertzfeldt,,,Animation
Three Fugitives,1989,96 min.,Francis Veber,Nick Nolte,Martin Short,Chase Movie
Brewster's Millions,1945,79 min.,Allan Dwan,Dennis O'Keefe,Helen Walker,Based-on-Theatre
Bulletproof Monk,2003,104 min.,Paul Hunter,Chow Yun-Fat,Seann William Scott,Action
The Black Cat,1981,92 min.,Lucio Fulci,Patrick Magee,Mimsy Farmer,Based-on-19th-Century-Literature
Eaten Alive!,1980,92 min.,Umberto Lenzi,Robert Kerman,Janet Agren,Cannibal Film
Intermezzo: A Love Story,1939,70 min.,Gregory Ratoff,Ingrid Bergman,Leslie Howard,Drama
Doctor Who: The Snowmen,2012,60 min.,Saul Metzstein,Matt Smith,Jenna-Louise Coleman,Holiday Film
Trailer Park Boys: Countdown to Liquor Day,2009,102 min.,Mike Clattenburg,Robb Wells,John Paul Tremblay,Absurd Comedy
The Arctic Giant,1942,9 min.,Dave Fleischer,Bud Collyer,Joan Alexander,Animation
Adventures of Zatoichi,1964,86 min.,Kimiyoshi Yasuda,Shintarô Katsu,Miwa Takada,Action
It's Always Sunny in Philadelphia: A Very Sunny Christmas,2009,43 min.,Fred Savage,Charlie Day,Glenn Howerton,Comedy
The Lonedale Operator,1911,17 min.,D.W. Griffith,Blanche Sweet,Francis J. Grandon,Drama
Madame Bovary,1949,114 min.,Vincente Minnelli,Jennifer Jones,James Mason,Based-on-19th-Century-Literature
Mabel at the Wheel,1914,18 min.,"Mabel Normand, Mack Sennett",Charles Chaplin,Mabel Normand,Comedy
