"['The Seventh Seal', '1957', '96 min.', 'Ingmar Bergman', 'Max von Sydow', 'Gunnar Björnstrand', 'Drama']"
"['The Departed', '2006', '151 min.', 'Martin Scorsese', 'Leonardo DiCaprio', 'Matt Damon', 'Crime Drama']"
"['Ace in the Hole', '1951', '111 min.', 'Billy Wilder', 'Kirk Douglas', 'Robert Arthur', 'Black Comedy']"
"['Modern Times', '1936', '87 min.', 'Charles Chaplin', 'Charles Chaplin', 'Henry Bergman', 'Comedy']"
"['2001: A Space Odyssey', '1968', '141 min.', 'Stanley Kubrick', 'Keir Dullea', 'Gary Lockwood', 'Adventure']"
"['Strangers on a Train', '1951', '101 min.', 'Alfred Hitchcock', 'Farley Granger', 'Robert Walker', 'Based-on-20th-Century-Literature']"
"['Grand Illusion', '1937', '114 min.', 'Jean Renoir', 'Jean Gabin', 'Dita Parlo', 'Anti-War Film']"
"['Batman Begins', '2005', '140 min.', 'Christopher Nolan', 'Christian Bale', 'Katie Holmes', 'Action']"
"['The Professional', '1994', '110 min.', 'Luc Besson', 'Jean Reno', 'Natalie Portman', 'Action Thriller']"
"['On the Waterfront', '1954', '108 min.', 'Elia Kazan', 'Marlon Brando', 'Karl Malden', 'Crime Drama']"
"['Stalker', '1979', '163 min.', 'Andrei Tarkovsky', 'Aleksandr Kaidanovsky', 'Alisa Frejndlikh', 'Adventure Drama']"
"['Rocky', '1976', '119 min.', 'John G. Avildsen', 'Sylvester Stallone', 'Talia Shire', 'Drama']"
"['8½', '1963', '138 min.', 'Federico Fellini', 'Marcello Mastroianni', 'Claudia Cardinale', 'Comedy Drama']"
"['In a Lonely Place', '1950', '94 min.', 'Nicholas Ray', 'Humphrey Bogart', 'Gloria Grahame', 'Crime Drama']"
"['Inglourious Basterds', '2009', '153 min.', 'Quentin Tarantino', 'Melanie Laurent', 'Brad Pitt', 'Adventure']"
"['Throne of Blood', '1957', '109 min.', 'Akira Kurosawa', 'Toshirô Mifune', 'Isuzu Yamada', 'Action Thriller']"
"['Network', '1976', '121 min.', 'Sidney Lumet', 'Faye Dunaway', 'William Holden', 'Black Comedy']"
"['Indiana Jones and the Temple of Doom', '1984', '118 min.', 'Steven Spielberg', 'Harrison Ford', 'Kate Capshaw', 'Action']"
"['The Philadelphia Story', '1940', '112 min.', 'George Cukor', 'Cary Grant', 'Katharine Hepburn', 'Based-on-Theatre']"
"['Sweet Smell of Success', '1957', '96 min.', 'Alexander Mackendrick', 'Burt Lancaster', 'Tony Curtis', 'Drama']"
"['The Man Who Shot Liberty Valance', '1962', '123 min.', 'John Ford', 'John Wayne', 'James Stewart', 'Drama']"
"['The Conversation', '1974', '113 min.', 'Francis Ford Coppola', 'Gene Hackman', 'John Cazale', 'Drama']"
"['All About Eve', '1950', '138 min.', 'Joseph L. Mankiewicz', 'Bette Davis', 'Anne Baxter', 'Comedy Drama']"
"['A Matter of Life and Death', '1946', '104 min.', 'Michael Powell, Emeric Pressburger', 'David Niven', 'Kim Hunter', 'Fantasy']"
"['Cool Hand Luke', '1967', '126 min.', 'Stuart Rosenberg', 'Paul Newman', 'George Kennedy', 'Drama']"
"['Groundhog Day', '1993', '101 min.', 'Harold Ramis', 'Bill Murray', 'Andie MacDowell', 'Comedy']"
"['Raging Bull', '1980', '129 min.', 'Martin Scorsese', 'Robert De Niro', 'Cathy Moriarty', 'Based-on-20th-Century-Literature']"
"['The Rules of the Game', '1939', '110 min.', 'Jean Renoir', 'Nora Gregor', 'Paulette Dubost', 'Comedy Drama']"
"['Shadow of a Doubt', '1943', '108 min.', 'Alfred Hitchcock', 'Teresa Wright', 'Joseph Cotten', 'Crime Thriller']"
"['His Girl Friday', '1940', '92 min.', 'Howard Hawks', 'Cary Grant', 'Rosalind Russell', 'Based-on-Theatre']"
"['Good Will Hunting', '1997', '126 min.', 'Gus Van Sant', 'Matt Damon', 'Robin Williams', 'Coming-of-Age']"
"['Out of the Past', '1947', '97 min.', 'Jacques Tourneur', 'Robert Mitchum', 'Jane Greer', 'Based-on-20th-Century-Literature']"
"['Badlands', '1973', '95 min.', 'Terrence Malick', 'Sissy Spacek', 'Martin Sheen', 'Americana']"
"['Sherlock Jr.', '1924', '45 min.', 'Buster Keaton', 'Buster Keaton', 'Kathryn McGuire', 'Action Comedy']"
"['Whiplash', '2014', '106 min.', 'Damien Chazelle', 'Miles Teller', 'J.K. Simmons', 'Drama']"
"['La Dolce Vita', '1960', '180 min.', 'Federico Fellini', 'Marcello Mastroianni', 'Anita Ekberg', 'Comedy Drama']"
"['The Maltese Falcon', '1941', '100 min.', 'John Huston', 'Humphrey Bogart', 'Mary Astor', 'Based-on-20th-Century-Literature']"
"['The Big Sleep', '1946', '114 min.', 'Howard Hawks', 'Lauren Bacall', 'John Ridgely', 'Based-on-20th-Century-Literature']"
"['Shaun of the Dead', '2004', '99 min.', 'Edgar Wright', 'Simon Pegg', 'Nick Frost', 'Apocalyptic Film']"
"['The Thing', '1982', '109 min.', 'John Carpenter', 'Kurt Russell', 'Wilford Brimley', 'Alien Invasion Films']"
"['Kill Bill Vol. 1', '2003', '111 min.', 'Quentin Tarantino', 'Uma Thurman', 'Lucy Liu', 'Action Thriller']"
"['Aguirre: The Wrath of God', '1972', '93 min.', 'Werner Herzog', 'Klaus Kinski', 'Helena Rojo', 'Adventure Drama']"
"['No Country for Old Men', '2007', '122 min.', 'Joel & Ethan Coen', 'Tommy Lee Jones', 'Javier Bardem', 'Based-on-21st-Century-Literature']"
"['The Lion King', '1994', '89 min.', 'Roger Allers, Rob Minkoff', 'Matthew Broderick', 'Jeremy Irons', 'Adventure']"
"['In the Mood for Love', '2000', '98 min.', 'Wong Kar-Wai', 'Tony Leung Chiu Wai', 'Maggie Cheung', 'Drama']"
"['The Great Dictator', '1940', '125 min.', 'Charles Chaplin', 'Charles Chaplin', 'Paulette Goddard', 'Anti-War Film']"
"['The Gold Rush', '1925', '96 min.', 'Charles Chaplin', 'Charles Chaplin', 'Mack Swain', 'Adventure Comedy']"
"['Gladiator', '2000', '155 min.', 'Ridley Scott', 'Russell Crowe', 'Joaquin Phoenix', 'Action']"
"['Diabolique', '1955', '116 min.', 'Henri-Georges Clouzot', 'Simone Signoret', 'Vera Clouzot', 'Based-on-20th-Century-Literature']"
"['Stand by Me', '1986', '89 min.', 'Rob Reiner', 'River Phoenix', 'Corey Feldman', 'Adventure Drama']"
"['Parasite', '2019', '132 min.', 'Bong Joon Ho', 'Kang-ho Song', 'Yeo-jeong Jo', 'Black Comedy']"
"['Rope', '1948', '80 min.', 'Alfred Hitchcock', 'James Stewart', 'John Dall', 'Based-on-a-True-Story']"
"['Memories of Murder', '2003', '130 min.', 'Bong Joon Ho', 'Kang-ho Song', 'Sang-kyung Kim', 'Based-on-a-True-Story']"
"['The Searchers', '1956', '119 min.', 'John Ford', 'John Wayne', 'Jeffery Hunter', 'Epic']"
"['My Neighbor Totoro', '1988', '86 min.', 'Hayao Miyazaki', 'Noriko Hidaka', 'Chika Sakamoto', 'Adventure']"
"['Anatomy of a Murder', '1959', '160 min.', 'Otto Preminger', 'James Stewart', 'Lee Remick', 'Courtroom Drama']"
"['Eternal Sunshine of the Spotless Mind', '2004', '108 min.', 'Michel Gondry', 'Jim Carrey', 'Kate Winslet', 'Comedy Drama']"
"['The Breakfast Club', '1985', '97 min.', 'John Hughes', 'Emilio Estevez', 'Molly Ringwald', 'Comedy Drama']"
"['The Thin Man', '1934', '91 min.', 'W.S. Van Dyke', 'William Powell', 'Nat Pendleton', 'Based-on-20th-Century-Literature']"
"['American History X', '1998', '119 min.', 'Tony Kaye', 'Edward Norton', 'Edward Furlong', 'Crime']"
"['Office Space', '1999', '89 min.', 'Mike Judge', 'Stephen Root', 'Gary Cole', 'Black Comedy']"
"['Days of Heaven', '1978', '94 min.', 'Terrence Malick', 'Richard Gere', 'Brooke Adams', 'Costume Romance']"
"[""It's a Wonderful Life"", '1946', '130 min.', 'Frank Capra', 'James Stewart', 'Donna Reed', 'Americana']"
"['The Killing', '1956', '85 min.', 'Stanley Kubrick', 'Sterling Hayden', 'Coleen Gray', 'Based-on-20th-Century-Literature']"
"['Bringing Up Baby', '1938', '102 min.', 'Howard Hawks', 'Katharine Hepburn', 'Cary Grant', 'Comedy']"
"['Fanny and Alexander', '1982', '188 min.', 'Ingmar Bergman', 'Ewa Fröling', 'Gunn Wållgren', 'Childhood Drama']"
"[""Sullivan's Travels"", '1941', '90 min.', 'Preston Sturges', 'Joel McCrea', 'Veronica Lake', 'Comedy']"
"['Rififi', '1955', '122 min.', 'Jules Dassin', 'Jean Servais', 'Carl Mohner', 'Caper']"
"['Butch Cassidy and the Sundance Kid', '1969', '110 min.', 'George Roy Hill', 'Paul Newman', 'Robert Redford', 'Buddy Film']"
"['A Fistful of Dollars', '1964', '99 min.', 'Sergio Leone', 'Clint Eastwood', 'Marianne Koch', 'Action']"
"['Rio Bravo', '1959', '141 min.', 'Howard Hawks', 'John Wayne', 'Angie Dickinson', 'Buddy Film']"
"['The Wizard of Oz', '1939', '101 min.', 'Victor Fleming', 'Judy Garland', 'Frank Morgan', 'Adventure']"
"['Unforgiven', '1992', '131 min.', 'Clint Eastwood', 'Clint Eastwood', 'Gene Hackman', 'Outlaw']"
"['Once Upon a Time in the West', '1968', '165 min.', 'Sergio Leone', 'Charles Bronson', 'Gabriele Ferzetti', 'Ensemble Film']"
"['Rebecca', '1940', '130 min.', 'Alfred Hitchcock', 'Laurence Olivier', 'Joan Fontaine', 'Based-on-20th-Century-Literature']"
"['Brief Encounter', '1945', '86 min.', 'David Lean', 'Celia Johnson', 'Trevor Howard', 'Based-on-Theatre']"
"['Laura', '1944', '88 min.', 'Otto Preminger', 'Gene Tierney', 'Dana Andrews', 'Crime Thriller']"
"['Ran', '1985', '162 min.', 'Akira Kurosawa', 'Tatsuya Nakadai', 'Akira Terao', 'Action']"
"['For a Few Dollars More', '1965', '132 min.', 'Sergio Leone', 'Clint Eastwood', 'Lee Van Cleef', 'Foreign Language Film']"
"['Iron Man', '2008', '126 min.', 'Jon Favreau', 'Robert Downey Jr.', 'Gwyneth Paltrow', 'Action']"
"['The Best Years of Our Lives', '1946', '172 min.', 'William Wyler', 'Fredric March', 'Dana Andrews', 'Americana']"
"['Annie Hall', '1977', '93 min.', 'Woody Allen', 'Woody Allen', 'Diane Keaton', 'Comedy of Manners']"
"['Paris, Texas', '1984', '147 min.', 'Wim Wenders', 'Harry Dean Stanton', 'Dean Stockwell', 'Drama']"
"['Stalag 17', '1953', '120 min.', 'Billy Wilder', 'Robert Strauss', 'Harvey Lembeck', 'Comedy Drama']"
"['Mr. Smith Goes to Washington', '1939', '129 min.', 'Frank Capra', 'James Stewart', 'Jean Arthur', 'Americana']"
"['Duck Soup', '1933', '68 min.', 'Leo McCarey', 'Harpo Marx', 'Groucho Marx', 'Absurd Comedy']"
"['Lawrence of Arabia', '1962', '227 min.', 'David Lean', ""Peter O'Toole"", 'Alec Guinness', 'Adventure Drama']"
"['To Be or Not to Be', '1942', '99 min.', 'Ernst Lubitsch', 'Carole Lombard', 'Jack Benny', 'Comedy']"
"['The Prestige', '2006', '130 min.', 'Christopher Nolan', 'Hugh Jackman', 'Christian Bale', 'Mindbender']"
"['The Sting', '1973', '129 min.', 'George Roy Hill', 'Paul Newman', 'Robert Redford', 'Buddy Film']"
"['Back to the Future Part II', '1989', '108 min.', 'Robert Zemeckis', 'Michael J. Fox', 'Christopher Lloyd', 'Adventure']"
"['Charade', '1963', '113 min.', 'Stanley Donen', 'James Coburn', 'Cary Grant', 'Comedy Thriller']"
"['Chungking Express', '1994', '98 min.', 'Wong Kar-Wai', 'Brigitte Lin', 'Tony Leung Chiu Wai', 'Drama']"
"['Dog Day Afternoon', '1975', '125 min.', 'Sidney Lumet', 'Al Pacino', 'John Cazale', 'Based-on-a-True-Story']"
"[""All the President's Men"", '1976', '138 min.', 'Alan J. Pakula', 'Jason Robards', 'Hal Holbrook', 'Based-on-a-True-Story']"
"['Witness for the Prosecution', '1957', '116 min.', 'Billy Wilder', 'Tyrone Power', 'Marlene Dietrich', 'Based-on-20th-Century-Literature']"
"['Andrei Rublev', '1966', '205 min.', 'Andrei Tarkovsky', 'Anatoli Solonitsyn', 'Ivan Lapikov', 'Based-on-a-True-Story']"
"['The Kid', '1921', '68 min.', 'Charles Chaplin', 'Charles Chaplin', 'Jackie Coogan', 'Drama']"
"['The Graduate', '1967', '105 min.', 'Mike Nichols', 'Dustin Hoffman', 'Anne Bancroft', 'Comedy Drama']"
